# 📊 Полный анализ всех цветов в CSS файлах Arsenal
# Дата анализа: 11 января 2026 г.
# Всего уникальных цветов: 150

## 🏆 ТОП-50 САМЫХ ИСПОЛЬЗУЕМЫХ ЦВЕТОВ

| Место | Цвет | Частота использования |
|-------|------|----------------------|
| 1 | \$([#1a1a1a1a, 56].Name)\ | **56** |
| 2 | \$([#ff1a1a, 46].Name)\ | **46** |
| 3 | \$([#ffffff, 33].Name)\ | **33** |
| 4 | \$([#fff, 33].Name)\ | **33** |
| 5 | \$([#0a0a0a, 32].Name)\ | **32** |
| 6 | \$([#990000, 24].Name)\ | **24** |
| 7 | \$([var(--red-700, #ff1a1a), 22].Name)\ | **22** |
| 8 | \$([#4a5565, 21].Name)\ | **21** |
| 9 | \$([var(--container-padding-x), 21].Name)\ | **21** |
| 10 | \$([var(--container-padding-y), 21].Name)\ | **21** |
| 11 | \$([transparent, 20].Name)\ | **20** |
| 12 | \$([#6a7282, 19].Name)\ | **19** |
| 13 | \$([var(--container-max-width), 18].Name)\ | **18** |
| 14 | \$([#c41e3a, 18].Name)\ | **18** |
| 15 | \$([#fafafa, 16].Name)\ | **16** |
| 16 | \$([#f9fafb, 16].Name)\ | **16** |
| 17 | \$([#e0e0e0, 16].Name)\ | **16** |
| 18 | \$([#e5e7eb, 13].Name)\ | **13** |
| 19 | \$([#1a1a1a, 12].Name)\ | **12** |
| 20 | \$([#666, 11].Name)\ | **11** |
| 21 | \$([#f5f5f5, 11].Name)\ | **11** |
| 22 | \$([#99a1af, 11].Name)\ | **11** |
| 23 | \$([#333, 11].Name)\ | **11** |
| 24 | \$([#ffffffcc, 10].Name)\ | **10** |
| 25 | \$([var(--color-text-light), 10].Name)\ | **10** |
| 26 | \$([#cc0000, 10].Name)\ | **10** |
| 27 | \$([currentcolor, 9].Name)\ | **9** |
| 28 | \$([var(--color-text-light, #ffffff), 9].Name)\ | **9** |
| 29 | \$([#ffe5e5, 8].Name)\ | **8** |
| 30 | \$([inherit, 8].Name)\ | **8** |
| 31 | \$([#101828, 7].Name)\ | **7** |
| 32 | \$([#0d0d0d0d, 6].Name)\ | **6** |
| 33 | \$([var(--red-900, #990000), 6].Name)\ | **6** |
| 34 | \$([var(--red-700), 6].Name)\ | **6** |
| 35 | \$([#ffffff26, 5].Name)\ | **5** |
| 36 | \$([#33333333, 5].Name)\ | **5** |
| 37 | \$([#d1d5dc, 5].Name)\ | **5** |
| 38 | \$([#212121, 5].Name)\ | **5** |
| 39 | \$([#c8102e, 5].Name)\ | **5** |
| 40 | \$([var(--radius-md), 5].Name)\ | **5** |
| 41 | \$([#999, 4].Name)\ | **4** |
| 42 | \$([#364153, 4].Name)\ | **4** |
| 43 | \$([#4d4d4d4d, 4].Name)\ | **4** |
| 44 | \$([var(--color-charcoal, #212121), 4].Name)\ | **4** |
| 45 | \$([#e5e5e5, 4].Name)\ | **4** |
| 46 | \$([#ffffff40, 4].Name)\ | **4** |
| 47 | \$([#ffffff4d, 4].Name)\ | **4** |
| 48 | \$([var(--red-800, #cc0000), 3].Name)\ | **3** |
| 49 | \$([#155dfc, 3].Name)\ | **3** |
| 50 | \$([var(--red-100), 3].Name)\ | **3** |

## 📋 ПОЛНЫЙ СПИСОК ВСЕХ ЦВЕТОВ (150)

| Цвет | Частота |
| \$([var(--color-beige, #ead6be), 2].Name)\ | 2 |
| \$([var(--color-white, #ffffff), 2].Name)\ | 2 |
| \$([var(--red-100, #ffe5e5), 2].Name)\ | 2 |
| \$([var(--shadow-md), 2].Name)\ | 2 |
| \$([#ffffffe6, 2].Name)\ | 2 |
| \$([var(--primary-color), 2].Name)\ | 2 |
| \$([#16a34a, 2].Name)\ | 2 |
| \$([#d1d5db, 2].Name)\ | 2 |
| \$([#1f1f1f1f, 2].Name)\ | 2 |
| \$([#f0b100, 2].Name)\ | 2 |
| \$([#eee, 2].Name)\ | 2 |
| \$([#374151, 2].Name)\ | 2 |
| \$([#093733, 2].Name)\ | 2 |
| \$([#1e2939, 2].Name)\ | 2 |
| \$([#00000099, 2].Name)\ | 2 |
| \$([#26262626, 2].Name)\ | 2 |
| \$([#f33, 2].Name)\ | 2 |
| \$([#dc2626, 2].Name)\ | 2 |
| \$([#ffffffb3, 2].Name)\ | 2 |
| \$([var(--secondary-color), 2].Name)\ | 2 |
| \$([#fee, 1].Name)\ | 1 |
| \$([#f58529, 1].Name)\ | 1 |
| \$([#155dfc0d, 1].Name)\ | 1 |
| \$([#495565, 1].Name)\ | 1 |
| \$([#0088cc, 1].Name)\ | 1 |
| \$([#d4f4dd, 1].Name)\ | 1 |
| \$([#dcfce7, 1].Name)\ | 1 |
| \$([var(--banner-interval, 5s), 1].Name)\ | 1 |
| \$([#515bd4, 1].Name)\ | 1 |
| \$([#fffefe66, 1].Name)\ | 1 |
| \$([#99000040, 1].Name)\ | 1 |
| \$([#ffcccc, 1].Name)\ | 1 |
| \$([#fff0f0, 1].Name)\ | 1 |
| \$([#ffdf20, 1].Name)\ | 1 |
| \$([#ff4d4d, 1].Name)\ | 1 |
| \$([#9810fa, 1].Name)\ | 1 |
| \$([#0077ff, 1].Name)\ | 1 |
| \$([var(--red-50, #fff0f0), 1].Name)\ | 1 |
| \$([#fdc7000d, 1].Name)\ | 1 |
| \$([#f2f2f2f2, 1].Name)\ | 1 |
| \$([#555, 1].Name)\ | 1 |
| \$([#dcdcde, 1].Name)\ | 1 |
| \$([#66666666, 1].Name)\ | 1 |
| \$([#d97706, 1].Name)\ | 1 |
| \$([#ff1a1ab3, 1].Name)\ | 1 |
| \$([#a01828, 1].Name)\ | 1 |
| \$([#ffffff1a, 1].Name)\ | 1 |
| \$([#bbb, 1].Name)\ | 1 |
| \$([#e0f2fe, 1].Name)\ | 1 |
| \$([#40404040, 1].Name)\ | 1 |
| \$([#e8e8e8, 1].Name)\ | 1 |
| \$([#1e1e1ee6, 1].Name)\ | 1 |
| \$([#0369a1, 1].Name)\ | 1 |
| \$([#fff9e6, 1].Name)\ | 1 |
| \$([#fffefe4d, 1].Name)\ | 1 |
| \$([#ccc, 1].Name)\ | 1 |
| \$([#a16207, 1].Name)\ | 1 |
| \$([#fef9c3, 1].Name)\ | 1 |
| \$([#ffffff80, 1].Name)\ | 1 |
| \$([#d9d9d9d9, 1].Name)\ | 1 |
| \$([#d0d0d0, 1].Name)\ | 1 |
| \$([#fee2e2, 1].Name)\ | 1 |
| \$([#dd2a7b, 1].Name)\ | 1 |
| \$([#ff3333, 1].Name)\ | 1 |
| \$([#1877f2, 1].Name)\ | 1 |
| \$([#ff1a1a1a, 1].Name)\ | 1 |
| \$([var(--red-600, #ff3333), 1].Name)\ | 1 |
| \$([#ff1a1a4d, 1].Name)\ | 1 |
| \$([#8134af, 1].Name)\ | 1 |
| \$([#6e11b0, 1].Name)\ | 1 |
| \$([#1447e6, 1].Name)\ | 1 |
| \$([#fff3f5, 1].Name)\ | 1 |
| \$([var(--red-600), 1].Name)\ | 1 |
| \$([#00000000, 1].Name)\ | 1 |
| \$([#ebebeb, 1].Name)\ | 1 |
| \$([#6b7280, 1].Name)\ | 1 |
| \$([#2d7a4b, 1].Name)\ | 1 |
| \$([var(--color-bg), 1].Name)\ | 1 |
| \$([#000, 1].Name)\ | 1 |
| \$([var(--red-500, #ff4d4d), 1].Name)\ | 1 |
| \$([#b3b3b3b3, 1].Name)\ | 1 |
| \$([#22c55e0d, 1].Name)\ | 1 |
| \$([#ddd, 1].Name)\ | 1 |
| \$([#3a3a3a, 1].Name)\ | 1 |
| \$([#c41e3a1f, 1].Name)\ | 1 |

